date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:26:45	2808/2808	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2011:00:12%20GMT	https://static.wixstatic.com/media/035244_b479c942430942bfab09b6cc06ff380a~mv2.jpg/v1/fill/w_245,h_139,al_c,q_80,usm_0.66_1.00_0.01,blur_2/035244_b479c942430942bfab09b6cc06ff380a~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_b479c942430942bfab09b6cc06ff380a_mv2.jpg/v1/fill/w_245,h_139,al_c,q_80,usm_0.66_1.00_0.01,blur_2/035244_b479c942430942bfab09b6cc06ff380a_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio)
05:26:46	624605/624605	---MCZ	200	added ('OK')	application/javascript	etag:W/%229b2491f66c4bf5f290846ab27d1eae99%22	https://jobokello5.wixsite.com/_partials/wix-bolt/1.4817.0/node_modules/viewer-platform-worker/dist/bolt-worker.js	C:/My%20Web%20Sites/portfolio/jobokello5.wixsite.com/_partials/wix-bolt/1.4817.0/node_modules/viewer-platform-worker/dist/bolt-worker.js	(from https://jobokello5.wixsite.com/myportfolio)
05:26:46	5627/5627	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2011:00:12%20GMT	https://static.wixstatic.com/media/035244_9f46dd7c6e524eef94172c670fff1913~mv2_d_1920_1343_s_2.jpg/v1/fill/w_245,h_171,al_c,q_80,usm_0.66_1.00_0.01,blur_2/035244_9f46dd7c6e524eef94172c670fff1913~mv2_d_1920_1343_s_2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_9f46dd7c6e524eef94172c670fff1913_mv2_d_1/v1/fill/w_245,h_171,al_c,q_80,usm_0.66_1.00_0.01,blur_2/035244_9f46dd7c6e524eef94172c670fff1913_mv2_d_1920_1343_s_2.jpg	(from https://jobokello5.wixsite.com/myportfolio)
05:26:46	4003/4003	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Jan%202020%2008:25:50%20GMT	https://static.wixstatic.com/media/035244_9fd1a405d2864f3b8415885edfcd79dd~mv2.jpg/v1/fill/w_245,h_106,al_c,q_80,usm_0.66_1.00_0.01,blur_2/035244_9fd1a405d2864f3b8415885edfcd79dd~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_9fd1a405d2864f3b8415885edfcd79dd_mv2.jpg/v1/fill/w_245,h_106,al_c,q_80,usm_0.66_1.00_0.01,blur_2/035244_9fd1a405d2864f3b8415885edfcd79dd_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio)
05:26:46	4721/4721	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Jan%202020%2009:46:25%20GMT	https://static.wixstatic.com/media/035244_1f9f5504879f46cc90c68e323a18ea59~mv2_d_1920_3986_s_2.jpg/v1/fill/w_245,h_509,al_c,q_80,usm_0.66_1.00_0.01,blur_2/035244_1f9f5504879f46cc90c68e323a18ea59~mv2_d_1920_3986_s_2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_1f9f5504879f46cc90c68e323a18ea59_mv2_d_1/v1/fill/w_245,h_509,al_c,q_80,usm_0.66_1.00_0.01,blur_2/035244_1f9f5504879f46cc90c68e323a18ea59_mv2_d_1920_3986_s_2.jpg	(from https://jobokello5.wixsite.com/myportfolio)
05:26:48	5269/5269	---M--	200	added ('OK')	image/png	etag:%223975b654d63bc489dc85404f99710e90%22	http://static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939~mv2.png	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939_mv2.png	(from https://jobokello5.wixsite.com/myportfolio)
05:26:48	674783/674783	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202020%2002:26:47%20GMT	https://jobokello5.wixsite.com/myportfolio/portfolio	C:/My%20Web%20Sites/portfolio/jobokello5.wixsite.com/myportfolio/portfolio.html	(from https://jobokello5.wixsite.com/myportfolio)
05:26:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202020%2002:26:48%20GMT	https://jobokello5.wixsite.com/myportfolio/robots.txt	C:/My%20Web%20Sites/portfolio/jobokello5.wixsite.com/myportfolio/robots.txt	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:49	510/510	---M--	200	added ('OK')	text/xml	etag:b06e46d50d742a0d60c67f2bc5831f0d	https://jobokello5.wixsite.com/myportfolio/sitemap.xml	C:/My%20Web%20Sites/portfolio/jobokello5.wixsite.com/myportfolio/sitemap.xml	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202020%2002:26:49%20GMT	https://jobokello5.wixsite.com/myportfolio/feed.xml	C:/My%20Web%20Sites/portfolio/jobokello5.wixsite.com/myportfolio/feed.xml	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:51	987521/987521	---M--	200	added ('OK')	image/gif	etag:%2261181195cdd9a6b001fb5895adabb7ed%22	https://static.wixstatic.com/media/035244_db2d7ef45e9a4c648f6c402bd37887d7~mv2.gif	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_db2d7ef45e9a4c648f6c402bd37887d7_mv2.gif	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:52	851791/851791	---M--	200	added ('OK')	image/gif	etag:%220a2ba3417814b0a9ca70d920e115fc16%22	https://static.wixstatic.com/media/035244_a6c9940be7574f80958eb48ee670c94a~mv2.gif	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_a6c9940be7574f80958eb48ee670c94a_mv2.gif	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:52	880571/880571	---M--	200	added ('OK')	image/gif	etag:%22d826f8d0e0270be8f69124a24328eb95%22	https://static.wixstatic.com/media/035244_1b65a67fbb9d4380b83b04e877918797~mv2.gif	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_1b65a67fbb9d4380b83b04e877918797_mv2.gif	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:52	1237/1237	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:26:52%20GMT	https://static.wixstatic.com/media/035244_6bef459d311f4d8295b30c6e204179af~mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_6bef459d311f4d8295b30c6e204179af~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_6bef459d311f4d8295b30c6e204179af_mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_6bef459d311f4d8295b30c6e204179af_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:53	1288/1288	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:22:00%20GMT	https://static.wixstatic.com/media/035244_d7bc438f67db4543bcc982b7567aa920~mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_d7bc438f67db4543bcc982b7567aa920~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_d7bc438f67db4543bcc982b7567aa920_mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_d7bc438f67db4543bcc982b7567aa920_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:53	1156/1156	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:26:53%20GMT	https://static.wixstatic.com/media/035244_d13301917382492d854f174b75749d92~mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_d13301917382492d854f174b75749d92~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_d13301917382492d854f174b75749d92_mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_d13301917382492d854f174b75749d92_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:54	1807/1807	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:26:54%20GMT	https://static.wixstatic.com/media/035244_24a99f3d185c4647a6429ede9582f759~mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_24a99f3d185c4647a6429ede9582f759~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_24a99f3d185c4647a6429ede9582f759_mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_24a99f3d185c4647a6429ede9582f759_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:54	1175/1175	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:22:00%20GMT	https://static.wixstatic.com/media/035244_c599aad6dd764049ac62db8c1d739a74~mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_c599aad6dd764049ac62db8c1d739a74~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_c599aad6dd764049ac62db8c1d739a74_mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_c599aad6dd764049ac62db8c1d739a74_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:54	1179/1179	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:22:00%20GMT	https://static.wixstatic.com/media/035244_e3492ff8967749ddb15413c6c027c04b~mv2.jpg/v1/fill/w_250,h_228,fp_0.50_0.50,q_30,blur_30/035244_e3492ff8967749ddb15413c6c027c04b~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_e3492ff8967749ddb15413c6c027c04b_mv2.jpg/v1/fill/w_250,h_228,fp_0.50_0.50,q_30,blur_30/035244_e3492ff8967749ddb15413c6c027c04b_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:55	987521/987521	---M--	200	added ('OK')	image/gif	etag:%2261181195cdd9a6b001fb5895adabb7ed%22	https://static.wixstatic.com/media/035244_db2d7ef45e9a4c648f6c402bd37887d7~mv2.gif/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_db2d7ef45e9a4c648f6c402bd37887d7~mv2.gif	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_db2d7ef45e9a4c648f6c402bd37887d7_mv2.gif/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_db2d7ef45e9a4c648f6c402bd37887d7_mv2.gif	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:56	1408/1408	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:26:56%20GMT	https://static.wixstatic.com/media/035244_5bd88fbac95345eba9f861fa63e99276~mv2.jpg/v1/fill/w_250,h_228,fp_0.50_0.50,q_30,blur_30/035244_5bd88fbac95345eba9f861fa63e99276~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_5bd88fbac95345eba9f861fa63e99276_mv2.jpg/v1/fill/w_250,h_228,fp_0.50_0.50,q_30,blur_30/035244_5bd88fbac95345eba9f861fa63e99276_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:56	1581/1581	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:22:00%20GMT	https://static.wixstatic.com/media/035244_95df92d9bbc14a1988e6da0eea395141~mv2.jpg/v1/fill/w_250,h_228,fp_0.50_0.50,q_30,blur_30/035244_95df92d9bbc14a1988e6da0eea395141~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_95df92d9bbc14a1988e6da0eea395141_mv2.jpg/v1/fill/w_250,h_228,fp_0.50_0.50,q_30,blur_30/035244_95df92d9bbc14a1988e6da0eea395141_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:56	1292/1292	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202020%2002:22:00%20GMT	https://static.wixstatic.com/media/035244_5bdc213b701d4732bb12a499d2b75895~mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_5bdc213b701d4732bb12a499d2b75895~mv2.jpg	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_5bdc213b701d4732bb12a499d2b75895_mv2.jpg/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_5bdc213b701d4732bb12a499d2b75895_mv2.jpg	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:57	851791/851791	---M--	200	added ('OK')	image/gif	etag:%220a2ba3417814b0a9ca70d920e115fc16%22	https://static.wixstatic.com/media/035244_a6c9940be7574f80958eb48ee670c94a~mv2.gif/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_a6c9940be7574f80958eb48ee670c94a~mv2.gif	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_a6c9940be7574f80958eb48ee670c94a_mv2.gif/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_a6c9940be7574f80958eb48ee670c94a_mv2.gif	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
05:26:57	880571/880571	---M--	200	added ('OK')	image/gif	etag:%22d826f8d0e0270be8f69124a24328eb95%22	https://static.wixstatic.com/media/035244_1b65a67fbb9d4380b83b04e877918797~mv2.gif/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_1b65a67fbb9d4380b83b04e877918797~mv2.gif	C:/My%20Web%20Sites/portfolio/static.wixstatic.com/media/035244_1b65a67fbb9d4380b83b04e877918797_mv2.gif/v1/fill/w_250,h_227,fp_0.50_0.50,q_30,blur_30/035244_1b65a67fbb9d4380b83b04e877918797_mv2.gif	(from https://jobokello5.wixsite.com/myportfolio/portfolio)
